evaluation_date,target_bond_id,comp_bond_id,target_issuer,comp_issuer,issuer_match,rating_match,seniority_match,sector_match,currency_match,maturity_gap_years,coupon_gap_pct,spread_gap_bps,comp_score,comp_weight,fair_spread
2026-04-06,AMZN_2031_425,AMZN_2036_488,Amazon.com Inc,Amazon.com Inc,1,1,1,1,1,5.002053388090349,0.6249999999999999,20.450410153716,4.57234498491624,4.57234498491624,0.005691875210655027
2026-04-06,AMZN_2031_425,META_2030_420,Amazon.com Inc,Meta Platforms Inc,0,0,1,0,1,0.32306639288158795,0.050000000000000044,1.8219232559199983,2.16188918801713,2.16188918801713,0.005691875210655027
2026-04-06,AMZN_2031_425,PFE_2033_475,Amazon.com Inc,Pfizer Investment Enterprises Pte,0,1,1,0,1,2.184804928131417,0.4999999999999998,20.742298080584998,1.8798871150773167,1.8798871150773167,0.005691875210655027
2026-04-06,AMZN_2036_488,AMZN_2031_425,Amazon.com Inc,Amazon.com Inc,1,1,1,1,1,5.002053388090349,0.6249999999999999,20.450410153716,4.57234498491624,4.57234498491624,0.005358137515244172
2026-04-06,AMZN_2036_488,PFE_2033_475,Amazon.com Inc,Pfizer Investment Enterprises Pte,0,1,1,0,1,2.817248459958932,0.1250000000000001,0.29188792686899934,2.174944594226784,2.174944594226784,0.005358137515244172
2026-04-06,AMZN_2036_488,META_2035_488,Amazon.com Inc,Meta Platforms Inc,0,0,1,0,1,0.3258042436687201,0.0,13.410553243011995,1.837040007774664,1.837040007774664,0.005358137515244172
2026-04-06,F_2030_400,F_2033_713,Ford Motor Credit Company LLC,Ford Motor Credit Company LLC,1,1,1,1,1,2.9842573579739904,3.124999999999999,37.48754169791903,4.425467862683238,4.425467862683238,0.01940814958042359
2026-04-06,F_2030_400,AMZN_2031_425,Ford Motor Credit Company LLC,Amazon.com Inc,0,0,1,1,1,0.32854209445585214,0.2500000000000002,122.38754248246497,-0.5594599500386304,0.1,0.01940814958042359
2026-04-06,F_2030_400,META_2030_420,Ford Motor Credit Company LLC,Meta Platforms Inc,0,0,1,0,1,0.0054757015742642025,0.20000000000000018,120.56561922654498,-1.2213491380557606,0.1,0.01940814958042359
2026-04-06,F_2033_713,F_2030_400,Ford Motor Credit Company LLC,Ford Motor Credit Company LLC,1,1,1,1,1,2.9842573579739904,3.124999999999999,37.48754169791903,4.425467862683238,4.425467862683238,0.015906604713060792
2026-04-06,F_2033_713,PFE_2033_475,Ford Motor Credit Company LLC,Pfizer Investment Enterprises Pte,0,0,1,0,1,0.47091033538672145,2.374999999999999,139.132786099799,-3.238211851303347,0.1,0.015906604713060792
2026-04-06,F_2033_713,AMZN_2036_488,Ford Motor Credit Company LLC,Amazon.com Inc,0,0,1,1,1,2.346338124572211,2.249999999999999,139.42467402666801,-3.6848107204578087,0.1,0.015906604713060792
2026-04-06,META_2030_420,META_2035_488,Meta Platforms Inc,Meta Platforms Inc,1,1,1,1,1,4.999315537303217,0.6749999999999999,32.039040140808,4.201876365933186,4.201876365933186,0.006341261396148726
2026-04-06,META_2030_420,AMZN_2031_425,Meta Platforms Inc,Amazon.com Inc,0,0,1,0,1,0.32306639288158795,0.050000000000000044,1.8219232559199983,2.16188918801713,2.16188918801713,0.006341261396148726
2026-04-06,META_2030_420,PFE_2033_475,Meta Platforms Inc,Pfizer Investment Enterprises Pte,0,0,1,0,1,2.507871321013005,0.5499999999999998,18.920374824665,-0.3489083015503538,0.1,0.006341261396148726
2026-04-06,META_2035_488,META_2030_420,Meta Platforms Inc,Meta Platforms Inc,1,1,1,1,1,4.999315537303217,0.6749999999999999,32.039040140808,4.201876365933186,4.201876365933186,0.004878444910004352
2026-04-06,META_2035_488,AMZN_2036_488,Meta Platforms Inc,Amazon.com Inc,0,0,1,0,1,0.3258042436687201,0.0,13.410553243011995,1.837040007774664,1.837040007774664,0.004878444910004352
2026-04-06,META_2035_488,PFE_2033_475,Meta Platforms Inc,Pfizer Investment Enterprises Pte,0,0,1,0,1,2.4914442162902124,0.1250000000000001,13.118665316142994,0.05078466748354005,0.1,0.004878444910004352
2026-04-06,PFE_2033_475,AMZN_2036_488,Pfizer Investment Enterprises Pte,Amazon.com Inc,0,1,1,0,1,2.817248459958932,0.1250000000000001,0.29188792686899934,2.174944594226784,2.174944594226784,0.005260006774999251
2026-04-06,PFE_2033_475,AMZN_2031_425,Pfizer Investment Enterprises Pte,Amazon.com Inc,0,1,1,0,1,2.184804928131417,0.4999999999999998,20.742298080584998,1.8798871150773167,1.8798871150773167,0.005260006774999251
2026-04-06,PFE_2033_475,META_2035_488,Pfizer Investment Enterprises Pte,Meta Platforms Inc,0,0,1,0,1,2.4914442162902124,0.1250000000000001,13.118665316142994,0.05078466748354005,0.1,0.005260006774999251
2026-04-06,PFE_2053_530,PFE_2033_475,Pfizer Investment Enterprises Pte,Pfizer Investment Enterprises Pte,1,1,1,1,1,20.0,0.5499999999999998,42.10044782376001,-8.0380134347128,0.1,0.006609773107338633
2026-04-06,PFE_2053_530,AMZN_2036_488,Pfizer Investment Enterprises Pte,Amazon.com Inc,0,1,1,0,1,17.182751540041068,0.4249999999999997,42.392335750629,-10.730471304551724,0.1,0.006609773107338633
2026-04-06,PFE_2053_530,META_2035_488,Pfizer Investment Enterprises Pte,Meta Platforms Inc,0,0,1,0,1,17.508555783709788,0.4249999999999997,28.98178250761701,-12.588798102196343,0.1,0.006609773107338633
